full_name,age,gender,employment_status,occupation,monthly_income,education_level,residential_status,marital_status,employment_duration,industry,hobbies,user_id,num_accounts,total_account_balance,avg_daily_balance,total_monthly_inflow,total_monthly_outflow,num_wallets,total_wallet_balance,avg_wallet_transaction,num_utility_bills,avg_utility_amount,overdue_bills,rent_amount,rent_status,monthly_plan_cost,credit_score,risk_category
Brian Green,28,Male,Contract,Environmental manager,10353.42,Master,Rent,Married,5,Healthcare,['Fitness'],1b9c35ae-91e1-4488-b849-c3350010eb35,1,11623.78,3430.83,11036.98,8214.63,3,813.5699999999999,49.336666666666666,3,153.34666666666666,1,1534.94,Paid,148.0,453,High
Melissa Jackson,29,Female,Contract,Stage manager,13496.99,Diploma,Family Home,Single,8,Manufacturing,"['Gaming', 'Music']",fc321b67-d4d4-407a-a3c0-314f7c19c74f,1,7662.47,3499.5,13427.43,10314.18,2,630.17,56.585,4,146.74,0,1953.16,Paid,32.0,446,High
Michael Mason,21,Male,Fresh Graduate,Financial adviser,4870.68,Diploma,Family Home,Single,2,Technology,"['Gaming', 'Photography', 'Fitness']",37772836-3143-4eb7-8148-8c75006b293a,1,10719.41,4519.56,5146.44,3902.56,2,802.1099999999999,28.9,4,183.2875,0,1948.78,Paid,81.0,586,High
Ashley Gamble,21,Female,Contract,"Accountant, chartered",7800.19,Diploma,Family Home,Single,4,Healthcare,"['Traveling', 'Reading']",2ef6ffd6-f9a3-4b3c-b58b-fe840fc0254a,2,2792.2200000000003,5262.755,15160.970000000001,11248.33,4,1519.31,72.035,4,188.0575,0,1547.63,Paid,122.0,452,High
Ann Shah,22,Female,Fresh Graduate,"Restaurant manager, fast food",11926.55,Master,Rent,Single,9,Education,"['Reading', 'Fitness']",50fe6fe4-dd5e-4c43-adaa-2aebb1b5f12c,1,11943.24,7527.03,11506.26,10276.81,2,709.82,83.34,4,214.63,0,978.27,Paid,127.0,508,High
Dustin Daniels,28,Female,Fresh Graduate,Multimedia programmer,14640.98,Diploma,Rent,Married,0,Technology,['Traveling'],c7e7d387-6503-410a-ad22-6caea1e575ec,2,12548.42,5684.594999999999,27521.95,17819.11,4,793.94,64.475,2,169.04,0,706.34,Paid,103.0,532,High
Brenda Howell,30,Female,Fresh Graduate,Occupational psychologist,4333.1,Master,Family Home,Married,5,Finance,['Sports'],5b29a7ab-83cc-4e1e-ab1e-620f8d55ce74,1,11500.57,3150.61,4353.95,3646.66,3,771.9100000000001,61.4,3,185.74333333333334,0,590.75,Paid,69.0,483,High
William Evans,22,Female,Fresh Graduate,Manufacturing engineer,6987.57,Master,Family Home,Married,6,Finance,['Music'],b9a7f478-471f-42e0-b50e-7595bd82a0e2,1,13864.36,4302.0,6536.8,5447.17,3,641.45,41.76,2,122.39,0,1643.13,Paid,84.0,607,Medium
Margaret Freeman,22,Female,Employed,Health promotion specialist,8990.53,Bachelor,Family Home,Single,1,Education,"['Reading', 'Fitness', 'Photography']",63c51978-7f82-464f-8fac-82dda3063c62,2,15066.91,1211.77,18386.25,14750.91,4,461.42,59.895,4,166.0775,0,1856.46,Paid,120.0,638,Medium
Theresa Leonard,25,Female,Fresh Graduate,Clinical molecular geneticist,13969.17,Diploma,Family Home,Married,4,Healthcare,"['Traveling', 'Gaming', 'Cooking']",fcb600d7-a846-457c-93e8-453f494ef2b0,1,12021.23,6209.26,14455.03,9320.83,3,190.09,78.32333333333334,4,156.53,1,1344.71,Paid,72.0,519,High
Darryl Nguyen,26,Female,Fresh Graduate,"Psychologist, educational",4220.92,Bachelor,Rent,Single,9,Finance,"['Sports', 'Gaming', 'Cooking']",ca1dfbe7-a09b-4a13-9208-b61c6dd73440,1,7596.92,7033.65,4532.52,3294.81,2,687.88,29.07,3,113.88333333333334,0,1532.4,Paid,58.0,524,High
Jennifer Gray,28,Male,Fresh Graduate,"Scientist, biomedical",7739.2,Bachelor,Family Home,Single,2,Manufacturing,"['Music', 'Traveling']",06522faf-a3ca-4828-a17f-93f51e59eab6,1,8642.99,8907.27,8379.39,6442.92,3,825.59,50.406666666666666,4,130.1825,0,1524.83,Paid,132.0,514,High
Christopher Casey,28,Male,Employed,Bookseller,10533.79,Diploma,Rent,Single,3,Finance,"['Photography', 'Gaming']",b764a8d4-4f1b-4d00-b647-3f7459fd7198,2,19056.85,6584.46,20341.64,17044.09,4,831.8199999999999,50.3625,4,239.3975,0,669.63,Paid,40.0,592,High
Alicia Acevedo,22,Male,Employed,"Exhibitions officer, museum/gallery",14888.43,Diploma,Family Home,Single,6,Manufacturing,['Fitness'],de9b13db-ce86-47df-ad77-91751860db05,2,21521.93,4727.945,30376.54,20327.89,4,1352.74,49.962500000000006,2,109.565,0,1669.63,Paid,98.0,649,Medium
Jeffrey Glass,30,Male,Fresh Graduate,Building surveyor,2742.34,Master,Rent,Single,2,Technology,['Reading'],3129eaa4-63a8-421d-88b0-f916bdad7a9b,1,2856.55,2816.69,2662.07,2222.85,2,474.51,20.405,2,138.14999999999998,0,698.77,Paid,111.0,594,High
David Hodge,30,Male,Fresh Graduate,Fitness centre manager,7079.83,Bachelor,Family Home,Single,5,Technology,"['Sports', 'Traveling', 'Gaming']",95721145-65e4-485b-92b2-e6e1af1438d0,2,19401.53,7775.03,14273.27,9227.83,2,541.45,46.865,3,199.44666666666663,0,971.92,Paid,128.0,537,High
Elizabeth Pope,30,Male,Fresh Graduate,Health physicist,10793.28,Diploma,Family Home,Single,8,Education,['Sports'],b528fbcd-b861-4d50-b9d3-cf8d84c1d535,2,13921.96,3965.245,22282.91,16389.01,4,995.96,69.8625,3,150.16,0,586.98,Paid,76.0,586,High
Robert Hawkins,29,Female,Contract,Petroleum engineer,12399.79,Diploma,Family Home,Married,0,Finance,"['Music', 'Photography']",aabf4648-e06d-4320-8f6a-14811e78ae9b,2,13934.42,4548.9349999999995,24322.79,20343.19,2,564.84,41.629999999999995,2,190.49,0,668.51,Paid,94.0,500,High
Carol Hernandez,30,Female,Contract,Facilities manager,3423.49,Master,Rent,Married,4,Manufacturing,['Sports'],2477582e-6290-46c7-9910-6de62c204ce3,2,19294.47,1831.3600000000001,7208.3,5138.87,2,744.12,18.935,4,115.92,0,767.74,Paid,112.0,699,Medium
Lawrence Case,21,Male,Employed,Pension scheme manager,7036.14,Bachelor,Family Home,Married,7,Education,"['Reading', 'Traveling']",92aff663-3e08-42e7-9fb0-3e0e569a7971,2,15868.68,4707.139999999999,14310.69,10930.59,3,610.4100000000001,86.79333333333334,3,134.61333333333334,1,534.89,Paid,107.0,524,High
David Jones,24,Female,Fresh Graduate,Recruitment consultant,9082.55,Master,Rent,Married,1,Education,"['Sports', 'Reading', 'Traveling']",66be52f7-5124-4147-b6cd-b0dc78806642,1,3998.43,2242.58,8820.09,5740.65,3,1086.26,61.77,3,75.09666666666666,0,1360.22,Paid,89.0,688,Medium
Patrick Thompson,22,Male,Fresh Graduate,Teaching laboratory technician,13545.78,Diploma,Family Home,Single,5,Finance,"['Cooking', 'Gaming']",1dc47704-2763-4e7f-b544-5a9353871373,2,26565.36,2562.3900000000003,26245.9,23359.79,3,610.01,68.08333333333333,4,168.21,0,950.53,Paid,123.0,610,Medium
Ronald Obrien,28,Female,Employed,Careers information officer,2731.9,Diploma,Rent,Single,6,Manufacturing,['Sports'],a2cfd8a9-79ac-4254-ad64-0d542e5fe9df,2,14577.16,1795.015,5123.74,4183.21,4,1295.26,55.114999999999995,4,139.6225,1,583.43,Paid,52.0,586,High
Melissa Green,30,Female,Fresh Graduate,"Therapist, horticultural",6163.04,Master,Rent,Married,0,Healthcare,"['Photography', 'Music', 'Traveling']",4f0e5664-bc75-4ee7-9f01-3946d8c2017d,1,3837.25,9396.65,6265.53,4172.04,3,404.19,80.59,2,212.25,0,806.63,Paid,132.0,490,High
Corey Hernandez,27,Female,Contract,Industrial/product designer,10531.69,Bachelor,Family Home,Single,4,Finance,['Sports'],57060cfb-269d-4474-a61f-14916403acdc,1,7319.63,3019.74,9526.2,7184.69,4,537.0,44.245,4,222.0675,1,1564.62,Paid,106.0,465,High
Sheila Woodward DDS,22,Male,Employed,"Teacher, primary school",13064.64,Bachelor,Rent,Single,8,Technology,"['Reading', 'Gaming']",52bf6b78-f9e3-472f-9b9f-434c833b6eda,1,7015.98,3521.07,13592.99,8339.25,4,1028.49,74.8725,2,126.03,0,1975.59,Paid,143.0,671,Medium
Nicole Ritter,21,Female,Contract,"Librarian, public",4083.68,Bachelor,Family Home,Married,2,Education,['Music'],f2d768cd-02f0-4b29-8967-a03778874059,2,9228.65,5146.77,7999.9,6039.18,2,362.83,40.155,4,173.155,1,533.57,Paid,32.0,457,High
Eric York,29,Male,Fresh Graduate,Food technologist,6356.63,Diploma,Rent,Married,3,Healthcare,"['Cooking', 'Traveling', 'Fitness']",e3eca34f-db2f-4130-ab49-a59d84aeb95b,2,8981.95,6096.935,13315.630000000001,10724.21,4,1567.1499999999999,44.04,2,217.58999999999997,0,1128.61,Paid,53.0,536,High
Brandi Rodriguez,22,Male,Employed,"Psychologist, counselling",11867.08,Diploma,Rent,Single,8,Finance,"['Sports', 'Cooking']",04d4748a-61b2-467b-a308-248d59fac863,2,8617.14,3005.515,23482.54,17186.29,4,1032.46,66.005,3,189.64333333333335,0,1738.88,Paid,133.0,559,High
William Brown,28,Male,Employed,Trade mark attorney,13370.8,Diploma,Family Home,Married,2,Education,['Sports'],f613920e-c334-485a-9b84-adec2ea9553f,1,6431.4,7371.06,13833.73,9003.17,3,1070.3600000000001,54.95333333333334,3,206.3066666666667,1,711.91,Paid,95.0,582,High
Scott Foster,27,Male,Employed,Printmaker,4805.83,Diploma,Family Home,Married,4,Education,"['Sports', 'Fitness', 'Music']",3ed98d8a-bc7c-43ed-98e4-04cfbea076f6,2,17931.86,3231.27,9993.619999999999,7322.17,3,914.11,63.026666666666664,4,261.65250000000003,1,1199.19,Paid,97.0,601,Medium
Christopher Anderson,23,Male,Employed,Industrial/product designer,6856.97,Diploma,Family Home,Married,7,Healthcare,"['Gaming', 'Cooking', 'Reading']",b1b3b88f-d9f0-4860-8d7b-8ec657d69c35,2,13902.439999999999,7636.725,13754.8,9977.259999999998,3,725.1800000000001,67.96333333333332,2,163.23,1,1118.99,Paid,39.0,607,Medium
Cynthia Brown,28,Female,Fresh Graduate,Trade mark attorney,11335.62,Diploma,Family Home,Single,2,Healthcare,"['Gaming', 'Reading', 'Fitness']",5609a9c1-3e75-4663-b4de-7ecd513fb05f,1,4002.09,1577.66,12288.9,7022.7,3,1031.73,39.99666666666666,2,241.89499999999998,0,1026.57,Paid,60.0,487,High
Justin Vargas,21,Male,Fresh Graduate,Land,14587.84,Bachelor,Family Home,Single,4,Healthcare,"['Gaming', 'Music', 'Traveling']",b89aa97c-ac26-42bf-9aea-0765014c1a92,1,5063.82,2398.48,15180.43,10683.6,3,828.12,69.83,3,173.6833333333333,0,1595.15,Paid,100.0,479,High
Sarah Montes,26,Male,Fresh Graduate,"Surveyor, hydrographic",4133.22,Diploma,Rent,Married,8,Finance,['Reading'],2df4dbf3-136e-40da-81ba-b733c9d1482e,1,1210.52,5617.55,3987.73,2933.12,4,844.53,60.964999999999996,2,180.575,0,852.64,Paid,36.0,523,High
Christopher Perez,28,Female,Fresh Graduate,Copy,6288.52,Master,Rent,Single,0,Education,"['Reading', 'Fitness']",15cc9289-81c4-4c72-9555-a6f25e29aea9,2,7073.280000000001,6391.504999999999,12331.74,9505.06,4,1305.0900000000001,50.175,2,152.15,0,637.79,Paid,47.0,666,Medium
Clayton Jackson,22,Female,Fresh Graduate,Clinical embryologist,8090.4,Bachelor,Family Home,Married,5,Manufacturing,"['Traveling', 'Fitness']",48e7a010-a6e1-4fcd-b33b-b9f13d94e549,1,567.92,1181.95,8009.17,6803.48,2,584.89,70.9,3,155.74666666666667,0,1847.7,Paid,69.0,600,Medium
Sharon Owen,25,Male,Fresh Graduate,Podiatrist,14479.99,Bachelor,Family Home,Married,9,Healthcare,"['Fitness', 'Music']",f0f03257-5393-4879-a5fe-e016ba11d379,1,14486.03,3926.98,14603.72,12551.11,2,741.08,67.235,3,259.08666666666664,0,1176.37,Paid,124.0,542,High
Meghan Wilkerson,23,Female,Fresh Graduate,"Engineer, biomedical",3733.68,Diploma,Family Home,Single,1,Technology,"['Traveling', 'Fitness', 'Photography']",e0ac2b79-0f59-44e6-a6da-1096117aef7a,1,10734.55,6528.99,3921.88,2925.91,3,1297.04,34.29,4,179.7925,1,1911.73,Paid,125.0,642,Medium
Samuel Adams,28,Male,Employed,"Exhibitions officer, museum/gallery",5247.54,Diploma,Rent,Married,4,Finance,"['Photography', 'Traveling']",04879676-a911-421f-830e-184d985a996c,2,8700.9,4379.445,11500.41,8461.09,3,650.8399999999999,53.20666666666667,3,163.56,0,1742.9,Paid,77.0,614,Medium
Linda Salazar,24,Male,Employed,Tax adviser,11824.5,Bachelor,Family Home,Single,6,Education,"['Fitness', 'Cooking', 'Reading']",cf0704df-7de3-40d0-a88d-cc5397abf01a,1,8522.72,651.54,10956.26,9673.52,4,1364.3899999999999,65.28,3,215.84333333333333,0,1488.99,Paid,35.0,537,High
Sherry Rodriguez,25,Male,Fresh Graduate,Film/video editor,14913.44,Bachelor,Rent,Single,0,Finance,"['Reading', 'Photography', 'Fitness']",adfba363-d923-46bf-8fcd-192777b8e859,1,5542.59,4698.15,15155.32,9324.05,2,918.27,47.28,3,187.93999999999997,0,891.54,Paid,148.0,460,High
Rhonda Richards,29,Female,Contract,"Education officer, environmental",2519.71,Master,Rent,Single,3,Healthcare,"['Reading', 'Sports']",60588eb7-2f1c-435f-9c62-3e8c73de669f,1,5281.96,3811.22,2713.95,1602.61,2,773.8299999999999,91.33500000000001,3,167.4,0,560.95,Paid,119.0,665,Medium
Melissa Peters,22,Male,Fresh Graduate,"Accountant, chartered public finance",5922.31,Bachelor,Family Home,Single,6,Manufacturing,"['Traveling', 'Music', 'Gaming']",8177c5b5-6208-401e-8b35-f2b281c0f2dd,2,9813.960000000001,8287.93,11223.369999999999,8890.87,3,1231.17,43.98,3,170.09333333333333,0,549.75,Paid,68.0,516,High
Kiara Pierce,22,Female,Employed,"Surveyor, mining",8238.78,Bachelor,Rent,Married,0,Education,"['Music', 'Sports']",f50e30d7-99f1-436c-bd6b-71290b176d80,2,21041.02,4028.075,17493.92,11294.470000000001,4,612.33,53.824999999999996,2,177.04500000000002,0,502.05,Paid,147.0,551,High
Jennifer Scott DDS,21,Female,Employed,Retail buyer,13564.74,Master,Rent,Married,3,Education,['Cooking'],93b363d2-3eb5-48f7-8877-ea432c1d9760,2,20161.05,3706.295,27105.940000000002,21678.95,2,315.31,43.435,4,195.6675,0,1061.46,Paid,99.0,511,High
Deborah Parker,27,Male,Contract,Dealer,3140.15,Diploma,Family Home,Single,9,Healthcare,['Cooking'],5fcfcd5d-34d9-4121-a7d6-24e358051988,2,24766.98,3369.95,6437.72,4491.3099999999995,2,435.13,46.605000000000004,4,107.8075,0,1691.08,Paid,94.0,625,Medium
Tina Taylor,21,Female,Fresh Graduate,Exercise physiologist,5667.05,Master,Family Home,Single,1,Manufacturing,"['Fitness', 'Gaming']",99b1e5f0-9d05-4dc1-a051-1798765fd712,1,7609.12,4016.99,6171.36,4348.35,2,392.41999999999996,61.364999999999995,3,164.91666666666666,0,1808.34,Paid,54.0,563,High
Kimberly Lewis,28,Male,Fresh Graduate,"Scientist, water quality",9703.65,Master,Rent,Single,3,Manufacturing,"['Fitness', 'Cooking', 'Music']",5fb86dfb-25e6-4cea-af42-de04ddb9c76f,1,4235.74,9522.86,10355.54,7377.57,4,1260.73,65.7825,3,171.83,0,1183.74,Paid,123.0,588,High
Kelli Tate,25,Female,Fresh Graduate,Writer,13162.14,Diploma,Family Home,Single,8,Technology,"['Music', 'Traveling', 'Cooking']",4c59ac1f-e127-4143-9471-522304033895,2,19320.9,7616.0599999999995,27716.1,19933.79,3,809.76,38.276666666666664,2,146.27499999999998,0,1453.67,Paid,37.0,668,Medium
Richard George,24,Male,Employed,Structural engineer,3224.63,Master,Rent,Single,2,Education,['Photography'],6f1e71e4-92b7-4cf1-928c-5584418290b1,2,20809.489999999998,5546.275,6642.27,4267.84,2,922.81,53.26,2,93.67,0,1528.53,Paid,124.0,501,High
Melissa Berry,26,Male,Contract,Lobbyist,7910.26,Diploma,Family Home,Single,3,Education,['Traveling'],2bbc8655-e464-4e87-a411-f7a7108a84be,2,12202.07,3910.215,15030.0,12471.029999999999,2,577.3199999999999,40.655,4,154.92499999999998,0,616.45,Paid,79.0,586,High
Mr. Derek Mack,23,Male,Fresh Graduate,Ambulance person,8526.77,Master,Rent,Married,6,Education,['Music'],6987c306-27af-461f-985d-f3b35f20181e,2,13966.49,6057.57,17696.03,13284.23,2,447.52,81.58500000000001,2,136.34,0,833.08,Paid,47.0,571,High
Rodney Matthews,28,Female,Employed,Mudlogger,14749.05,Diploma,Rent,Single,0,Education,"['Traveling', 'Fitness']",638060d1-b062-462c-995b-8cd9e11758a3,2,11915.04,9585.005,29548.199999999997,21887.08,2,539.3,51.31999999999999,4,83.115,0,763.63,Paid,142.0,574,High
Michael Gonzalez,28,Male,Fresh Graduate,"Surveyor, insurance",2998.49,Bachelor,Family Home,Single,3,Finance,"['Photography', 'Music']",2257c5dc-1ecb-41e0-8db1-a0e44a48380c,2,17125.14,6246.085,6223.83,4123.77,3,887.11,41.12333333333333,3,153.10666666666665,1,1136.1,Paid,36.0,612,Medium
Jason Cannon,27,Female,Contract,"Chemist, analytical",7485.85,Bachelor,Family Home,Married,7,Technology,"['Traveling', 'Gaming', 'Sports']",24f36559-950a-4aa1-9436-911781f4c772,2,21214.64,1200.35,14240.73,11862.64,2,884.37,83.33,4,185.6025,1,1173.9,Paid,60.0,551,High
Jacob Henry,26,Male,Employed,Records manager,8867.48,Bachelor,Rent,Married,1,Manufacturing,"['Cooking', 'Traveling', 'Gaming']",904c39f8-0960-4e98-9f92-48df30d03b31,1,14567.6,6925.74,8891.34,7018.91,3,738.06,78.73333333333333,3,226.14666666666668,0,1420.74,Paid,64.0,606,Medium
George Romero,23,Female,Contract,Insurance account manager,13523.26,Bachelor,Family Home,Married,5,Healthcare,"['Traveling', 'Music', 'Fitness']",b24f37f9-8b44-48ec-80e7-f3a79fa40794,1,12280.12,7363.24,13256.31,11090.19,2,532.1800000000001,34.995000000000005,3,238.74333333333334,0,1784.89,Paid,122.0,609,Medium
Melanie Bell,30,Male,Employed,"Librarian, public",2799.48,Bachelor,Rent,Single,9,Education,"['Reading', 'Sports', 'Cooking']",f399f388-a6bb-4df9-8d8a-f111975e5af5,2,12996.1,8653.055,5690.04,4735.389999999999,2,842.72,58.04,3,141.93666666666667,0,1126.37,Paid,82.0,548,High
Barbara Fox,27,Female,Contract,Maintenance engineer,5126.58,Diploma,Family Home,Single,2,Manufacturing,"['Photography', 'Cooking', 'Music']",799fb034-8911-40b8-a4bd-611a350f2c19,2,13554.43,2741.11,10283.09,7460.37,2,730.55,85.82499999999999,4,167.17000000000002,0,1156.06,Pending,142.0,492,High
Adriana Cisneros,25,Male,Employed,Astronomer,8887.01,Master,Rent,Single,5,Healthcare,['Gaming'],cf467fbb-7e52-4c22-8833-d78218ad06a4,2,10279.81,2119.1949999999997,17892.78,12360.52,3,1148.74,73.87666666666667,2,173.78500000000003,0,691.41,Paid,132.0,566,High
Jeffery Barrera,22,Male,Contract,Chief Operating Officer,13708.84,Bachelor,Rent,Single,6,Education,"['Music', 'Reading']",286f72db-c56d-443e-bd36-b50fe1469030,1,10283.87,5784.91,14455.68,11815.96,4,1114.85,60.489999999999995,3,159.91666666666666,1,1448.14,Paid,80.0,586,High
Zachary Herman,27,Female,Contract,"Scientist, marine",4813.71,Bachelor,Rent,Single,0,Manufacturing,"['Cooking', 'Reading']",57c05821-2a23-479b-a4e6-515a4487b033,1,12977.35,3276.56,4884.1,4026.93,3,836.0699999999999,42.09666666666667,3,244.51333333333332,0,1909.57,Paid,44.0,525,High
Michelle Cowan DDS,21,Female,Contract,Photographer,6657.15,Master,Rent,Single,4,Technology,"['Fitness', 'Traveling']",970baaa7-5d85-48ca-ac35-b9875b1e1638,2,23550.78,7637.85,13611.55,9800.029999999999,3,768.6099999999999,58.97,2,119.02,0,1442.39,Paid,144.0,463,High
Rose Fuller,28,Male,Fresh Graduate,Barista,8376.22,Bachelor,Rent,Single,6,Healthcare,['Reading'],2e47a31e-8c72-402a-a5e7-c225980e6e2e,1,5873.6,7078.05,7861.78,6707.55,2,232.12,83.84,3,176.62333333333333,0,1911.72,Paid,35.0,561,High
John Brooks,22,Male,Employed,"Journalist, magazine",14028.92,Master,Family Home,Single,2,Technology,"['Photography', 'Traveling']",30823211-5bb5-477d-8ea7-8486aa5d6724,2,20236.33,4130.725,28292.870000000003,20070.260000000002,2,905.25,51.23,4,142.8,0,1591.89,Paid,38.0,563,High
Robert Smith,23,Male,Employed,Graphic designer,4797.97,Diploma,Family Home,Single,3,Healthcare,"['Fitness', 'Photography']",a81266e7-91c1-4436-a3d7-19bfe5f84ec1,2,19492.41,4352.465,9718.95,6767.74,2,860.87,66.99000000000001,3,170.8166666666667,0,812.1,Pending,44.0,501,High
Sean Patterson,27,Female,Contract,Management consultant,6200.52,Diploma,Rent,Single,6,Manufacturing,['Cooking'],54f5615f-dfac-4f2d-af3e-8dbae2573f1d,2,20490.34,3126.65,12097.27,9476.62,3,353.98,45.629999999999995,2,222.45,0,1152.85,Paid,33.0,697,Medium
Michael Williams,23,Female,Employed,Orthoptist,9532.71,Bachelor,Rent,Single,1,Healthcare,"['Traveling', 'Photography']",0119c8fc-b7fe-464a-8add-987227abfaf7,2,16495.35,3461.44,18291.38,14846.98,2,593.91,70.11500000000001,2,144.0,0,1999.61,Paid,107.0,700,Low
Carmen Ramirez,29,Male,Fresh Graduate,Radiation protection practitioner,13387.98,Diploma,Family Home,Married,3,Manufacturing,['Sports'],670e8dde-415d-442e-9251-e4091cc380cc,1,9741.29,7891.15,14691.61,8895.69,3,606.15,37.343333333333334,3,252.30666666666664,0,1453.4,Paid,120.0,666,Medium
Joel Tyler,26,Female,Contract,Cartographer,4747.81,Diploma,Family Home,Married,9,Manufacturing,['Gaming'],759ead36-8ada-4b72-bc11-7eb6a5b424a5,2,2773.91,6211.33,8902.130000000001,6026.23,2,487.35,35.015,3,167.06,0,1685.76,Paid,117.0,674,Medium
Christopher Stewart,28,Female,Employed,Trading standards officer,7542.37,Bachelor,Rent,Single,0,Education,"['Gaming', 'Cooking']",fdddcdde-a422-49cb-82ed-21e5adc09d23,2,23410.7,4260.45,15250.91,10399.02,3,968.16,63.26333333333333,2,185.45,0,1378.43,Paid,106.0,649,Medium
Sarah Mooney,23,Male,Contract,"Pilot, airline",11743.6,Master,Family Home,Married,4,Education,"['Gaming', 'Traveling']",4646d23e-3d91-4c36-aad5-30741e0a42e9,2,11634.619999999999,3544.56,24735.66,17311.97,4,846.21,62.295,4,149.585,0,1890.37,Pending,54.0,615,Medium
Teresa Matthews,25,Male,Fresh Graduate,Minerals surveyor,12502.78,Diploma,Rent,Married,7,Manufacturing,"['Reading', 'Fitness', 'Music']",62303684-5c2a-416e-b803-5fc79bc77b1b,1,8343.16,9271.77,12174.52,7522.4,2,342.44,61.465,3,186.63,0,924.45,Paid,97.0,694,Medium
Jessica Garza,29,Female,Employed,Trading standards officer,2582.54,Bachelor,Family Home,Single,2,Education,['Music'],d1fc9b7d-530b-4795-93c2-92b4b161367c,1,13054.68,4246.18,2561.37,2018.53,3,612.88,57.95333333333334,4,205.23999999999998,0,1133.23,Paid,139.0,543,High
Elizabeth Johnson,30,Female,Contract,Phytotherapist,6105.48,Diploma,Rent,Married,3,Finance,['Gaming'],86f85e48-c573-4d0f-8129-ed637e768aaf,2,16699.82,5492.655,11370.490000000002,10087.400000000001,4,981.02,63.0275,2,180.07,0,1681.25,Paid,93.0,500,High
Jennifer Pittman,26,Male,Fresh Graduate,"Production assistant, radio",8198.75,Bachelor,Rent,Married,8,Education,"['Gaming', 'Cooking', 'Music']",dd78a64a-7579-42da-b5ee-535a656cf72c,1,8990.89,4206.29,9009.92,6389.9,4,1163.25,39.527499999999996,3,97.64,1,1538.47,Paid,100.0,543,High
