provider,account_number,monthly_amount,payment_status,user_id,payment_history
Tenaga Nasional,81304379,93.89,Paid,9f947189-787b-4076-a02f-1e8580cbc9eb,"[{""month"": ""2024-11"", ""amount"": 147.39, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 227.92, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 76.89, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 271.53, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 235.46, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 146.21, ""status"": ""Paid""}]"
Maxis,85987738,274.65,Paid,9f947189-787b-4076-a02f-1e8580cbc9eb,"[{""month"": ""2024-11"", ""amount"": 387.6, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 294.35, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 338.05, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 304.78, ""status"": ""Late""}, {""month"": ""2024-08"", ""amount"": 73.57, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 278.16, ""status"": ""Paid""}]"
Time Internet,97449873,167.26,Paid,9f947189-787b-4076-a02f-1e8580cbc9eb,"[{""month"": ""2024-11"", ""amount"": 372.63, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 393.24, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 442.37, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 446.28, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 338.69, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 449.0, ""status"": ""Paid""}]"
Indah Water,11342270,249.94,Paid,9f947189-787b-4076-a02f-1e8580cbc9eb,"[{""month"": ""2024-11"", ""amount"": 456.99, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 232.43, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 349.95, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 390.28, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 227.25, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 300.54, ""status"": ""Paid""}]"
Time Internet,3955917,233.51,Paid,7c7104a8-4a76-4bb7-9fa9-4e832458a4b5,"[{""month"": ""2024-11"", ""amount"": 285.51, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 348.32, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 192.65, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 326.86, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 238.98, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 402.9, ""status"": ""Late""}]"
Maxis,34066565,152.76,Paid,7c7104a8-4a76-4bb7-9fa9-4e832458a4b5,"[{""month"": ""2024-11"", ""amount"": 382.58, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 133.56, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 440.26, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 64.93, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 459.37, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 401.12, ""status"": ""Paid""}]"
Unifi,81251521,125.04,Paid,7c7104a8-4a76-4bb7-9fa9-4e832458a4b5,"[{""month"": ""2024-11"", ""amount"": 301.41, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 169.27, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 238.22, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 89.37, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 497.44, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 72.42, ""status"": ""Paid""}]"
Unifi,26783998,215.93,Paid,7c7104a8-4a76-4bb7-9fa9-4e832458a4b5,"[{""month"": ""2024-11"", ""amount"": 331.73, ""status"": ""Late""}, {""month"": ""2024-10"", ""amount"": 81.49, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 101.4, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 376.19, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 433.4, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 364.01, ""status"": ""Paid""}]"
Time Internet,39726864,155.36,Paid,1b9c35ae-91e1-4488-b849-c3350010eb35,"[{""month"": ""2024-11"", ""amount"": 484.57, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 128.16, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 137.43, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 285.95, ""status"": ""Late""}, {""month"": ""2024-08"", ""amount"": 360.11, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 344.85, ""status"": ""Paid""}]"
Maxis,19431326,251.35,Pending,1b9c35ae-91e1-4488-b849-c3350010eb35,"[{""month"": ""2024-11"", ""amount"": 361.9, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 252.66, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 290.56, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 137.29, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 191.16, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 366.92, ""status"": ""Paid""}]"
Unifi,24606968,53.33,Overdue,1b9c35ae-91e1-4488-b849-c3350010eb35,"[{""month"": ""2024-11"", ""amount"": 247.41, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 241.94, ""status"": ""Pending""}, {""month"": ""2024-09"", ""amount"": 139.03, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 131.6, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 133.2, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 336.82, ""status"": ""Paid""}]"
Air Selangor,73380232,166.25,Paid,fc321b67-d4d4-407a-a3c0-314f7c19c74f,"[{""month"": ""2024-11"", ""amount"": 185.36, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 270.67, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 183.97, ""status"": ""Late""}, {""month"": ""2024-08"", ""amount"": 66.25, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 59.16, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 431.76, ""status"": ""Paid""}]"
Air Selangor,35971664,186.45,Paid,fc321b67-d4d4-407a-a3c0-314f7c19c74f,"[{""month"": ""2024-11"", ""amount"": 455.97, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 402.72, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 444.82, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 134.12, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 341.27, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 256.38, ""status"": ""Paid""}]"
Indah Water,46423804,89.11,Paid,fc321b67-d4d4-407a-a3c0-314f7c19c74f,"[{""month"": ""2024-11"", ""amount"": 244.58, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 463.28, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 221.08, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 264.07, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 434.55, ""status"": ""Late""}, {""month"": ""2024-07"", ""amount"": 397.25, ""status"": ""Paid""}]"
Tenaga Nasional,85155531,145.15,Paid,fc321b67-d4d4-407a-a3c0-314f7c19c74f,"[{""month"": ""2024-11"", ""amount"": 453.35, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 116.96, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 376.0, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 469.03, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 473.79, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 151.55, ""status"": ""Paid""}]"
Indah Water,3162912,208.59,Pending,37772836-3143-4eb7-8148-8c75006b293a,"[{""month"": ""2024-11"", ""amount"": 304.19, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 291.17, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 181.77, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 342.99, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 58.92, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 243.02, ""status"": ""Paid""}]"
Tenaga Nasional,49983340,196.79,Paid,37772836-3143-4eb7-8148-8c75006b293a,"[{""month"": ""2024-11"", ""amount"": 337.96, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 475.37, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 485.87, ""status"": ""Pending""}, {""month"": ""2024-08"", ""amount"": 280.39, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 242.29, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 217.44, ""status"": ""Paid""}]"
Air Selangor,13831232,188.96,Paid,37772836-3143-4eb7-8148-8c75006b293a,"[{""month"": ""2024-11"", ""amount"": 157.87, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 163.33, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 402.02, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 381.47, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 197.13, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 382.92, ""status"": ""Paid""}]"
Unifi,66906670,138.81,Paid,37772836-3143-4eb7-8148-8c75006b293a,"[{""month"": ""2024-11"", ""amount"": 52.43, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 207.54, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 459.11, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 201.88, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 215.61, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 431.87, ""status"": ""Paid""}]"
Time Internet,15268783,199.83,Paid,2ef6ffd6-f9a3-4b3c-b58b-fe840fc0254a,"[{""month"": ""2024-11"", ""amount"": 395.62, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 76.08, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 250.12, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 283.49, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 384.43, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 419.93, ""status"": ""Paid""}]"
Indah Water,62364864,243.27,Paid,2ef6ffd6-f9a3-4b3c-b58b-fe840fc0254a,"[{""month"": ""2024-11"", ""amount"": 443.28, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 72.08, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 331.59, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 352.62, ""status"": ""Pending""}, {""month"": ""2024-08"", ""amount"": 195.56, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 229.1, ""status"": ""Paid""}]"
Tenaga Nasional,66033139,91.07,Pending,2ef6ffd6-f9a3-4b3c-b58b-fe840fc0254a,"[{""month"": ""2024-11"", ""amount"": 479.45, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 90.02, ""status"": ""Pending""}, {""month"": ""2024-09"", ""amount"": 53.14, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 121.78, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 269.57, ""status"": ""Late""}, {""month"": ""2024-07"", ""amount"": 283.49, ""status"": ""Paid""}]"
Indah Water,87299634,218.06,Paid,2ef6ffd6-f9a3-4b3c-b58b-fe840fc0254a,"[{""month"": ""2024-11"", ""amount"": 203.44, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 375.8, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 95.55, ""status"": ""Pending""}, {""month"": ""2024-08"", ""amount"": 312.06, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 93.29, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 410.06, ""status"": ""Paid""}]"
Maxis,34841771,246.31,Paid,50fe6fe4-dd5e-4c43-adaa-2aebb1b5f12c,"[{""month"": ""2024-11"", ""amount"": 64.92, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 391.81, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 120.47, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 250.97, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 450.87, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 147.48, ""status"": ""Paid""}]"
Indah Water,95360397,237.92,Paid,50fe6fe4-dd5e-4c43-adaa-2aebb1b5f12c,"[{""month"": ""2024-11"", ""amount"": 89.02, ""status"": ""Pending""}, {""month"": ""2024-10"", ""amount"": 167.49, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 87.86, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 182.72, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 176.43, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 292.36, ""status"": ""Paid""}]"
